fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
493,Bubba,Bush,"The Fightin' Texas Aggie",182.88,185,NULL,Orthodox,1985-07-24,8,3,0,1,http://ufcstats.com/fighter-details/132505067f08c54d
494,Dakota,Bush,NULL,177.8,155,185.42,Orthodox,1994-06-09,8,4,0,NULL,http://ufcstats.com/fighter-details/3033c1c080672475
495,Murilo,Bustamante,NULL,187.96,183,NULL,Orthodox,1966-07-30,15,8,1,NULL,http://ufcstats.com/fighter-details/85d905f7c4f5a1af
496,Nick,Bustamante,NULL,175.26,170,NULL,NULL,NULL,5,3,0,NULL,http://ufcstats.com/fighter-details/51b1ca2a4b064101
497,Eduardo,Bustillos,NULL,172.72,135,NULL,NULL,1987-06-02,5,3,0,NULL,http://ufcstats.com/fighter-details/f273f1b8df04c8a1
498,Jason,Butcher,NULL,190.5,185,NULL,NULL,1984-10-23,10,2,0,NULL,http://ufcstats.com/fighter-details/30e39145fec48d25
499,Todd,Butler,NULL,185.42,200,NULL,Southpaw,NULL,1,4,0,NULL,http://ufcstats.com/fighter-details/3fed746acfd026dd
500,Goldman,Butler,NULL,NULL,NULL,NULL,NULL,NULL,1,4,0,NULL,http://ufcstats.com/fighter-details/e2d5072048b825b1
501,Ian,Butler,NULL,172.72,155,NULL,NULL,NULL,3,3,0,1,http://ufcstats.com/fighter-details/6b8fd98eb52363d1
502,Raphael,Butler,"The Silencer",190.5,261,NULL,NULL,1984-01-04,9,2,1,NULL,http://ufcstats.com/fighter-details/f941505e35fb1eae
503,Jesse,Butler,NULL,177.8,155,185.42,Orthodox,1992-05-24,12,5,0,NULL,http://ufcstats.com/fighter-details/a75a48bfe776b2c2
504,JP,Buys,"Young Savage",165.1,125,170.18,Orthodox,1996-04-30,9,5,0,NULL,http://ufcstats.com/fighter-details/0b362247806341e5
505,Dennis,Buzukja,"The Great",175.26,145,177.8,Switch,1997-10-01,8,2,0,NULL,http://ufcstats.com/fighter-details/c4d039123e62f6a9
506,Charles,Byrd,"Kid Dynamite",177.8,185,185.42,Orthodox,1983-10-11,10,7,0,NULL,http://ufcstats.com/fighter-details/76ee3d666c648f6b
507,Steve,Byrnes,"The Sergeant",182.88,170,NULL,Orthodox,NULL,6,1,0,NULL,http://ufcstats.com/fighter-details/43612456979e5d5e
508,Michael,Byrnes,NULL,180.34,155,NULL,NULL,1990-07-17,5,3,0,NULL,http://ufcstats.com/fighter-details/87f0b37f153cf497
509,Yan,Cabral,NULL,180.34,155,185.42,Orthodox,1983-05-13,13,3,0,NULL,http://ufcstats.com/fighter-details/7cdd3e5d3aa9cb39
510,Alvin,Cacdac,NULL,167.64,125,NULL,Orthodox,NULL,18,13,0,NULL,http://ufcstats.com/fighter-details/ce7871949b0ed2bf
511,Alex,Caceres,"Bruce Leeroy",177.8,145,185.42,Southpaw,1988-06-20,21,13,0,1,http://ufcstats.com/fighter-details/7aa3d6964eff4877
512,Vince,Cachero,"The Anomaly",167.64,145,172.72,Orthodox,1989-11-07,7,4,0,NULL,http://ufcstats.com/fighter-details/ed2a8cc402173781
513,Priscila,Cachoeira,"Zombie Girl",170.18,125,165.1,Orthodox,1988-08-19,12,4,0,NULL,http://ufcstats.com/fighter-details/b1e5bcaad32a3cac
514,Travis,Calanoc,"The Dark Knight",172.72,145,NULL,Orthodox,NULL,5,1,0,NULL,http://ufcstats.com/fighter-details/90d28fee0af74f2d
515,Ricky,Calatayud,NULL,175.26,125,NULL,NULL,1982-10-10,16,2,0,NULL,http://ufcstats.com/fighter-details/800feaa25700a85f
516,Darrion,Caldwell,"The Wolf",177.8,135,NULL,NULL,1987-12-19,10,1,0,NULL,http://ufcstats.com/fighter-details/b7dc25ee40ee8334
517,Taylor,Callens,NULL,177.8,155,NULL,NULL,1991-05-21,6,0,0,NULL,http://ufcstats.com/fighter-details/53d471e9bf5f2fc8
518,Cynthia,Calvillo,NULL,162.56,125,162.56,Orthodox,1987-07-13,9,6,1,NULL,http://ufcstats.com/fighter-details/98215d037be5bcb7
519,Joe,Camacho,NULL,175.26,155,NULL,Orthodox,1972-03-10,13,19,3,NULL,http://ufcstats.com/fighter-details/dfb965c9824425db
520,Frank,Camacho,"The Crank",177.8,155,185.42,Orthodox,1989-05-18,22,10,0,NULL,http://ufcstats.com/fighter-details/764342d39cdaa54a
521,Fabricio,Camoes,Morango,177.8,155,180.34,Orthodox,1978-12-23,14,9,1,NULL,http://ufcstats.com/fighter-details/7abe471b61725980
522,Chris,Camozzi,NULL,187.96,185,190.5,Orthodox,1986-11-20,24,13,0,NULL,http://ufcstats.com/fighter-details/6c2030e0a143a94b
523,Brian,Camozzi,Mantis,187.96,170,198.12,Orthodox,1991-06-24,7,5,0,NULL,http://ufcstats.com/fighter-details/1999ffb5cebc314f
524,Ricky,Camp,"2 Slick",170.18,135,NULL,NULL,NULL,11,4,0,NULL,http://ufcstats.com/fighter-details/4a99978a0366bb29
525,Mike,Campbell,"The Beast",175.26,155,NULL,Southpaw,NULL,13,4,0,NULL,http://ufcstats.com/fighter-details/f5585e675af7afd4
526,Thomas,Campbell,NULL,NULL,NULL,NULL,NULL,NULL,3,3,0,NULL,http://ufcstats.com/fighter-details/d060014a5a039829
527,Shane,Campbell,Shaolin,182.88,155,180.34,Orthodox,1987-01-21,14,6,0,NULL,http://ufcstats.com/fighter-details/784285b7ae7dd85f
528,Charlie,Campbell,"The Cannibal",182.88,155,NULL,Orthodox,1995-07-03,6,2,0,NULL,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8
529,John,Campetella,NULL,175.26,235,NULL,Orthodox,NULL,0,1,0,NULL,http://ufcstats.com/fighter-details/31bbd46d57dfbcb7
530,Wagner,Campos,Galeto,167.64,145,NULL,Southpaw,1981-07-31,12,10,0,NULL,http://ufcstats.com/fighter-details/db6d5f691aea3fd3
531,Derek,Campos,"The Stallion",175.26,155,NULL,NULL,1988-04-01,19,6,0,NULL,http://ufcstats.com/fighter-details/aa8dc72b3a1f761c
532,Will,Campuzano,NULL,175.26,125,177.8,Orthodox,1986-05-27,14,6,0,NULL,http://ufcstats.com/fighter-details/901cddcbfa079097
533,Aleksa,Camur,NULL,185.42,205,187.96,Orthodox,1995-09-25,6,2,0,NULL,http://ufcstats.com/fighter-details/c2a670b22d2e196f
534,Chico,Camus,"The King",167.64,125,167.64,Orthodox,1985-01-26,17,7,0,1,http://ufcstats.com/fighter-details/32be4b7f7de1c905
